# TX Calibration (RSSI at 1m)
beacon,rssi_at_1m
A,-59.4
K,-73.4
E,-63.5
H,-75.1
C,-64.7
M,-78.3
B,-65.6
F,-76.4

# Arena Fingerprints
position,beacon,avg_rssi
A,A,-60.0
A,K,-91.5
A,E,-81.3
A,H,-34.1
A,C,-58.4
A,M,-54.5
A,B,-76.8
A,F,-85.8
K,A,-76.5
K,K,-63.2
K,E,-86.3
K,H,-94.8
K,C,-82.7
K,M,-90.3
K,B,-88.5
K,F,-90.8
E,A,-82.2
E,K,-89.1
E,E,-56.0
E,H,-91.2
E,C,-82.4
E,M,-90.2
E,B,-84.2
E,F,-83.2
H,A,-86.2
H,K,-92.4
H,E,-76.3
H,H,-64.3
H,C,-80.6
H,M,-86.5
H,B,-89.6
H,F,-84.0
C,A,-49.9
C,K,-95.0
C,E,-76.0
C,H,-89.5
C,C,-62.0
C,M,-94.5
C,B,-24.9
C,F,-50.7
M,A,-84.1
M,K,-92.6
M,E,-84.0
M,H,-95.0
M,C,-72.2
M,M,-56.9
M,B,-28.7
M,F,-15.8
B,A,-79.5
B,K,-90.6
B,E,-77.6
B,H,-90.9
B,C,-81.0
B,M,-8.8
B,B,-51.4
B,F,-92.9
F,A,-73.6
F,K,-92.7
F,E,-84.8
F,H,-89.8
F,C,-84.4
F,M,-21.9
F,B,-52.7
F,F,-57.0
