elapsed_s,beacon_letter,rssi,accuracy_m,proximity,pos_x,pos_y,nearest_letter,distance_to_nearest,confidence,motion_state,accel_magnitude,filtered_pos_x,filtered_pos_y
0.31,A,-54,2.00,Near,8.85,-5.07,A,5.20,weak,trotting,0.2476,8.85,-5.07
0.31,B,-85,15.50,Far,8.85,-5.07,A,5.20,weak,trotting,0.2476,8.85,-5.07
0.31,C,-85,26.27,Far,8.85,-5.07,A,5.20,weak,trotting,0.2476,8.85,-5.07
1.31,A,-54,1.30,Near,9.40,-4.82,A,4.86,weak,walking,0.0613,9.40,-4.82
1.31,B,-85,16.21,Far,9.40,-4.82,A,4.86,weak,walking,0.0613,9.40,-4.82
1.31,C,-88,27.03,Far,9.40,-4.82,A,4.86,weak,walking,0.0613,9.40,-4.82
2.31,A,-66,1.47,Near,9.41,-4.82,A,4.85,weak,stationary,0.0099,9.41,-4.82
2.31,B,-87,17.14,Far,9.41,-4.82,A,4.85,weak,stationary,0.0099,9.41,-4.82
2.31,C,-82,26.15,Far,9.41,-4.82,A,4.85,weak,stationary,0.0099,9.41,-4.82
3.31,A,-75,1.88,Far,11.69,-3.78,A,4.14,weak,trotting,0.8588,11.69,-3.78
3.31,B,-89,18.27,Far,11.69,-3.78,A,4.14,weak,trotting,0.8588,11.69,-3.78
3.31,C,-82,25.40,Far,11.69,-3.78,A,4.14,weak,trotting,0.8588,11.69,-3.78
4.31,A,-68,2.10,Far,13.96,-2.75,A,4.82,weak,trotting,0.4352,13.96,-2.75
4.31,B,-86,19.05,Far,13.96,-2.75,A,4.82,weak,trotting,0.4352,13.96,-2.75
4.31,C,-84,25.32,Far,13.96,-2.75,A,4.82,weak,trotting,0.4352,13.96,-2.75
5.31,A,-69,2.36,Far,16.24,-1.71,A,6.47,weak,trotting,1.2051,16.24,-1.71
5.31,B,-83,19.27,Far,16.24,-1.71,A,6.47,weak,trotting,1.2051,16.24,-1.71
5.31,C,-83,24.98,Far,16.24,-1.71,A,6.47,weak,trotting,1.2051,16.24,-1.71
